URL,Name,नाम
http://amargadhimun.gov.np,amargadhi,अमरगढी
http://anantalingeshwormun.gov.np/en,anantalingeshwor,अनन्तलिंगेश्वर
http://anbukhairenimun.gov.np/en,Anbukhaireni,आँबुखैरेनी
http://apimun.gov.np/en,api,अपी
http://attariyamun.gov.np/en,attariya,अत्तरिया
http://babaimun.gov.np/en,Babai,बबई
http://badimalikamun.gov.np/en,badimalika,बढीमालिका
http://bagchaurmun.gov.np/en,Bagchaur,बागचौर
http://baglungmun.gov.np/?language=en,baglung,बाग्लुङ
http://bajrabarahimun.gov.np/en,Bajrabarahi,बज्रबाराही
http://bandipurmun.gov.np/en,bandipur,बन्दीपुर
http://banepamun.gov.np/en,Banepa,बनेपा
http://bangangamun.gov.np/en,banganga,बाणगङ्गा
http://bansgadhimun.gov.np/en,bansgadhi,बाँसगढी
http://bardghatmun.gov.np/en,bardghat,बर्दघाट
http://bardibasmun.gov.np/en,bardibas,बर्दिबास
http://barhathwamun.gov.np/en,Barhathwa,बरहथवा
http://bedkotmun.gov.np/en,Bedkot,बेदकोट
http://belaurimun.gov.np/en,belauri,बेलौरी
http://belbarimun.gov.np/en,belbari,बेलवारी
http://beldandimun.gov.np/en,Beldandi,वेलडाँडी
http://beltarbasaahamun.gov.np/en,beltarbasaaha,बेल्टार बसाहा
http://benimun.gov.np/en,beni,बेनी
http://besishaharmun.gov.np/en,besishahar,बेशीसहर
http://bhadrapur.municipality.gov.np/en,bhadrapur,भद्रपुर
http://bhajanitrishaktimun.gov.np/en,bhajanitrishakti,भजनीत्रिशक्ति
http://bhaktapurmun.gov.np/en,Bhaktapur,भक्तपुर
http://bhanumun.gov.np/en,Bhanu,भानु
http://bharatpur.municipality.gov.np/?language=en,bharatpur,भरतपुर
http://bheemdattamun.gov.np/en,bheemdatta,भीमदत्त
http://bheerkotmun.gov.np/en,Bheerkot,भीर्कोट
http://bherigangamun.gov.np/en,bheriganga,भेरीगंगा
http://bherimalikamun.gov.np/en,Bherimalika,भेरीमलिका
http://bhimeshwormun.gov.np/en,bhimeshwor,भिमेश्वर
http://bhojpurmun.gov.np/en,bhojpur,भोजपुर
http://bhrikutimun.gov.np/en,Bhrikuti,भृकुटी
http://bidurmun.gov.np/en,Bidur,बिदुर
http://biratnagarmun.gov.np/en,biratnagar,विराटनगर
http://birendranagarmun.gov.np/,birendranagar,वीरेन्द्रनगर
http://birgunjmun.gov.np,birgunj,वीरगंज
http://birtamodmun.gov.np/en,birtamod,बिर्तामोड
http://buddhabatikamun.gov.np,buddhabatika,बुद्धबाटिका
http://budhanilkanthamun.gov.np,budhanilkantha,बुढानिलकण्ठ
http://butwalmun.gov.np/?language=en,butwal,बुटवल
http://chainpurmun.gov.np/en,chainpur,चैनपुर
http://chandragirimun.gov.np/en,chandragiri,चन्द्रागिरी
http://chandrapurmun.gov.np/en,chandrapur,चंद्रपुर
http://changunarayanmun.gov.np/en,changunarayan,चाँगुनारायण
http://chapakotmun.gov.np/en,chapakot,चापाकोट
http://charnathmun.gov.np/en,charnath,चरनाथ
http://chaurjaharimun.gov.np/en,Chaurjahari,चौरजहारी
http://chautaramun.gov.np/en,chautara,चौतारा
http://chitrawanmun.gov.np/en,chitrawan,चित्रवन
http://damakmun.gov.np/en,damak,दमक
http://dasharathchandmun.gov.np/en,Dashrathchand,दशरथचन्द
http://daxinkalimun.gov.np/en,daxinkali,दक्षिणकाली
http://deumaimun.gov.np/en,deumai,देउमाई
http://devchulimun.gov.np/en,devchuli,देवचुली
http://devdahamun.gov.np/en,devdaha,देवदह
http://dhangadhimaimun.gov.np/en,dhangadhi,धनगढी
http://dhangadhimun.gov.np/?language=en,Dhangadhimai,धनगढीमाई
http://dhankutamun.gov.np/en,dhankuta,धनकुटा
http://dhanushadhammun.gov.np/en,dhanushadham,धनुषाधाम
http://dharan.gov.np/en,Dharan,धरान
http://dhulikhelmun.gov.np/en,Dhulikhel,धुलिखेल
http://diktelmun.gov.np/en,diktel,दिक्तेल
http://dipayalsilgadhimun.gov.np/en,dipayal silgadhi,दिपायल सिलगढी
http://dodharachadanimun.gov.np/en,dodharachadani,दोधराचादनी
http://dudhaulimun.gov.np/en,dudhauli,दुधौली
http://dudhkundamun.gov.np/en,dudhkunda,दुधकुण्ड
http://duhabibhaluwamun.gov.np/en,duhabibhaluwa,दुहवी भलुवा
http://dullumun.gov.np/en,dullu,दुल्लु
http://gadhimaimun.gov.np/en,gadhimai,गढ़िमाई
http://gaindakotmun.gov.np/en,gaindakot,गैडाकोट
http://garudamun.gov.np/en,garuda,गरुडा
http://gauradahamun.gov.np/en,Gaur,गौर
http://gaurmun.gov.np/?language=en,Gauradaha,गौरादह
http://gaushalamun.gov.np/en,gaushala,गौशाला
http://ghodaghodimun.gov.np/en,ghodaghodi,घोडाघोडी
http://ghorahimun.gov.np/,Ghorahi,घोराही
http://godawarimun.gov.np/en,godawari,गोदावरी
http://gokarneshwormun.gov.np/en,gokarneshwor,गोकर्णेश्वर
http://golbazarmun.gov.np/en,golbazar,गोलबजार
http://gorkhamun.gov.np,gorkha,गोरखा
http://gulariyamun.gov.np/?language=en,gulariya,गुलरिया
http://hanumannagaryoginimaimun.gov.np/en,Hanumannagar Yoginimai,हनुमाननगर योगिनिमाई
http://hetaudamun.gov.np/?language=en,hetauda,हेटौडा
http://ilammun.gov.np/en,Ilam,ईलाम
http://inaruwamun.gov.np/en,Inaruwa,इनरुवा
http://ishworpurmun.gov.np/en,ishworpur,ईश्वरपूर
http://itaharimun.gov.np/en,Itahari,इटहरी
http://jaleshwarmun.gov.np,Jaleshwar,जलेश्वर
http://janakpurmun.gov.np,Janakpur,जनकपुर
http://jayaprithvimun.gov.np/en,jayaprithvi,जयपृथ्वी
http://jhalaripipaladimun.gov.np/en,jhalaripipaladi,झलारीपिपलाडी
http://jirimun.gov.np/en,jiri,जिरी
http://kageshworimanoharamun.gov.np/en,kageshworimanohara,कागेश्वरीमनोहरा
http://kalaiyamun.gov.np,Kalaiya,कलैया
http://kalikamun.gov.np/en,Kalika,कालिका
http://kamalamaimun.gov.np,Kamalamai,कमलामाई
http://kamalbazarmun.gov.np/en,Kamalbazar,कमलबजार
http://kanchanrupmun.gov.np/en,kanchanrup,कन्चनरुप
http://kankaimun.gov.np/en,kankai,कन्काई
http://kapilvastumun.gov.np/?language=en,Kapilvastu,कपिलवस्तु
http://karaputarmun.gov.np/en,Karaputar,करापुटार
http://karyabinayakmun.gov.np/en,karyabinayak,कार्यविनायक
http://kashikhandmun.gov.np/en,kashikhand,काशिखंड
http://kataarimun.gov.np,kataari,कटारी
http://kathmandu.gov.np/en,Kathmandu,काठमाडौँ
http://kawasotimun.gov.np/en,kawasoti,कावासोती
http://khandbarimun.gov.np/,Khadbari,खादँवारी
http://kirtipurmun.gov.np/en,Kirtipur,किर्तिपुर
http://kohalpurmun.gov.np/en,kohalpur,कोहलपुर
http://kolhabimun.gov.np/en,kolhabi,कोल्हाबी
http://koshiharaichamun.gov.np/en,koshiharaicha,कोशी हरैचा
http://krishnanagarmun.gov.np/en,krishnanagar,कृष्णनगर
http://krishnapurmun.gov.np/en,Krishnapur,कृष्णपुर
http://kushmamun.gov.np/en,kushma,कुश्मा
http://laalbandimun.gov.np/en,laalbandi,लालबन्दी
http://lahanmun.gov.np/en,Lahan,लहान
http://laliguransmun.gov.np/en,Laligurans,लालीगुराँस
http://lalitpurmun.gov.np/en,Lalitpur,ललितपुर
http://lamahimun.gov.np/en,lamahi,लमही
http://lamkichuhamun.gov.np/en,lamkichuha,लम्की चुहा
http://lekhnathmun.gov.np/?language=en,Lekhnath,लेखनाथ
http://letangbhogatenimun.gov.np/en,letangbhogateni,लेतांग भोगटेनी
http://libangmun.gov.np/en,libang,लिबांग
http://maddimun.gov.np/en,maddi,माडी
http://madhyabindumun.gov.np/en,Madhyabindu,मध्यबिन्दु
http://madhyanepalmun.gov.np/en,Madhyanepal,मध्यनेपाल
http://madhyapurthimimun.gov.np/en,Madhyapur Thimi,मध्यपुर थिमि
http://madimun.gov.np/en,madi,मादि
http://mahagadimaimun.gov.np/en,mahagadimai,महागढीमाई
http://mahalaxmimun.gov.np/en,mahalaxmi,महालक्ष्मी
http://mahamanjushreenagarkotmun.gov./en,mahamanjushreenagarkot,महामञ्जुश्री नगरकोट
http://malangwamun.gov.np/?language=en,Malangwa,मलङ्गवा
http://mangalsenmun.gov.np/en,mangalsen,मंगलसेन
http://manthalimun.gov.np/en,manthali,मन्थली
http://mechinagarmun.gov.np/en,Mechinagar,मेचीनगर
http://melamchimun.gov.np/en,melamchi,मेलम्ची
http://mirchaiyamun.gov.np/en,mirchaiya,मिर्चैया
http://mithilamun.gov.np/en,mithila,मिथिला
http://musikotmun.gov.np/en,musikot,मुसिकोट
http://myanglungmun.gov.np/en,myanglung,म्याङ्लुङ
http://nagarjunmun.gov.np/en,nagarjun,नागार्जुन
http://narayanimun.gov.np/en,Narayan,नारायण
http://narayanmun.gov.np/,narayani,नारायणी
http://nepalgunjmun.gov.np/?language=en,Nepalgunj,नेपालगन्ज
http://nijgadhmun.gov.np/en,nijgadh,निजगड
http://nilkanthamun.gov.np/en,nilkantha,निलकण्ठ
http://pakhribasmun.gov.np/en,pakhribas,पाख्रिबास
http://palungtarmun.gov.np/en,palungtar,पालुम्टार
http://panautimun.gov.np/en,Panauti,पनौती
http://panchkhalmun.gov.np/en,panchkhal,पाँचखाल
http://parasurammun.gov.np/en,parasuram,परशुराम
http://patanmun.gov.np/en,patan,पाटन
http://patharishanishcharemun.gov.np/en,patharishanishchare,पथरी शनिश्चरे
http://phidimmun.gov.np/en,phidim,फिदिम
http://pokharamun.gov.np/?language=en,Pokhara,पोखरा
http://pokhariyamun.gov.np/en,pokhariya,पोखरिया
http://punarbasmun.gov.np/en,punarbas,पुनर्बास
http://putalibazarmun.gov.np/en,Putalibazaar,पुतलीबजार
http://pyuthanmun.gov.np/en,pyuthan,प्युठान
http://rainasmun.gov.np/en,Rainas,राईनास
http://rajapurmun.gov.np/en,rajapur,राजापुर
http://rajbiraj.municipality.gov.np/en,Rajbiraj,राजविराज
http://ramdhunibhasimun.gov.np/en,ramdhunibhasi,रामधुनीभाषी
http://ramechhapmun.gov.np/en,ramechhap,रामेछाप
http://ramgrammun.gov.np/?language=en,Ramgram,रामग्राम
http://rampurmun.gov.np/en,rampur,रामपुर
http://rangelimun.gov.np/en,rangeli,रंगेली
http://raptimun.gov.np/en,Rapti,राप्ती
http://resungamun.gov.np/en,resunga,रेसुङ्गा
http://khairhanimun.gov.np/en,khairhani,खैरहनी
http://sabailamun.gov.np/en,sabaila,सबैला
http://sainamainamun.gov.np/en,sainamaina,सैना मैना
http://sanfebagarmun.gov.np/en,sanfebagar,साँफेबगर
http://sanoshreetaratalmun.gov.np/en,sanoshreetaratal,सानोश्रीताराताल
http://saptakoshimun.gov.np/en,saptakoshi,सप्तकोशी
http://shaaradamun.gov.np/en,shaarada,शारदा
http://shadanandmun.gov.np/en,shadanand,षडानन्द
http://shambhunathmun.gov.np/en,shambhunath,शम्भुनाथ
http://shaniarjunmun.gov.np/en,shaniarjun,शानीअर्जुन
http://shankharapurmun.gov.np/en,shankharapur,शंखरापुर
http://shivarajmun.gov.np/en,shivaraj,शिवराज
http://shivasataximun.gov.np/en,shivasataxi,शिवसताक्षी
http://shubhaghatgangamalamun.gov.np/en,Shubhaghat Gangamala,शुभाघाट गंगामाला
http://shuklagandakimun.gov.np/en,shuklagandaki,शुक्ला गण्डकी
http://siddharthanagarmun.gov.np/?language=en,Siddharthanagar,सिद्धार्थनगर
http://siddhicharanmun.gov.np/en,siddhicharan,सिद्धीचरण
http://simraungadhmun.gov.np/en,simraungadh,सिम्रोनगढ
http://sirahamun.gov.np/en,Siraha,सिरहा
http://sukhipurmun.gov.np/en,Sukhipur,सुखिपुर
http://sundarbazarmun.gov.np/en,sundarbazar,सुन्दरबजार
http://sundardularimun.gov.np/en,sundardulari,सुन्दर दुलारी
http://sunwalmun.gov.np/en,sunwal,सुनवल
http://suryabinayakmun.gov.np/en,suryabinayak,सुर्यविनायक
http://suryodayamun.gov.np/en,suryodaya,सुर्योदय
http://tansenmun.gov.np/?language=en,Tansen,तानसेन
http://taplejungmun.gov.np/en,taplejung,ताप्लेजुङ
http://tarakeshwormun.gov.np/en,tarakeshwor,तारकेश्वर
http://thahamun.gov.np/en,thaha,थाहा
http://tikapurmun.gov.np/?language=en,Tikapur,टीकापुर
http://tilottamamun.gov.np/en,tilottama,तिलोत्तमा
http://tokhamun.gov.np/en,tokha,टोखा
http://tripurmun.gov.np/en,tripur,त्रिपुर
http://triyugamun.gov.np/en,Triyuga,त्रियुगा
http://tulsipurmun.gov.np/,Tulsipur,तुलसीपुर
http://urlabarimun.gov.np/en,urlabari,उर्लाबारी
http://vyasmun.gov.np,Vyas,व्यास
http://walingmun.gov.np/?language=en,Waling,वालिङ
